Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,222.149994,222.949997,217.270004,217.880005,217.880005,37195100
2018-09-18,217.789993,221.850006,217.119995,218.240005,218.240005,31571700
2018-09-19,218.500000,219.619995,215.300003,218.369995,218.369995,27123800
2018-09-20,220.240005,222.279999,219.149994,220.029999,220.029999,26608800
2018-09-21,220.779999,221.360001,217.289993,217.660004,217.660004,96246700
2018-09-24,216.820007,221.259995,216.630005,220.789993,220.789993,27693400
2018-09-25,219.750000,222.820007,219.699997,222.190002,222.190002,24554400
2018-09-26,221.000000,223.750000,219.759995,220.419998,220.419998,23984700
2018-09-27,223.820007,226.440002,223.539993,224.949997,224.949997,30181200
2018-09-28,224.789993,225.839996,224.020004,225.740005,225.740005,22929400
2018-10-01,227.949997,229.419998,226.350006,227.259995,227.259995,23600800
2018-10-02,227.250000,230.000000,226.630005,229.279999,229.279999,24788200
2018-10-03,230.050003,233.470001,229.779999,232.070007,232.070007,28654800
2018-10-04,230.779999,232.350006,226.729996,227.990005,227.990005,32042000
2018-10-05,227.960007,228.410004,220.580002,224.289993,224.289993,33580500
2018-10-08,222.210007,224.800003,220.199997,223.770004,223.770004,29663900
2018-10-09,223.639999,227.270004,222.250000,226.869995,226.869995,26891000
2018-10-10,225.460007,226.350006,216.050003,216.360001,216.360001,41990600
2018-10-11,214.520004,219.500000,212.320007,214.449997,214.449997,53124400
2018-10-12,220.419998,222.880005,216.839996,222.110001,222.110001,40337900
2018-10-15,221.160004,221.830002,217.270004,217.360001,217.360001,30390700
